country,policy,status,local_national,gov_non-gov,type,subtype,stability,justice,foreign,climate,start_day,start_month,start_year,end_day,end_moth,end_year,source1,text1,source2,text2,source3,text3,source4,text4,source5,text5,source 6,text6,source7,text7,source8,text8,source9,text9,source10,text10,source11,text11,source12,text12
Finland,increase for travel expense deductions,increased,national,gov,transfer payments,,0.5,1,1,1,1,7,2022,31,12,2022,https://www.vero.fi/tietoa-verohallinnosta/uutishuone/lehdist%C3%B6tiedotteet/2022/ota-k%C3%A4ytt%C3%B6%C3%B6n-parantuneet-veroedut-kodin-ja-ty%C3%B6paikan-v%C3%A4lisist%C3%A4-matkoista-hein%C3%A4kuussa/,"Travel expense deductions for trips between the apartment and the workplace will be temporarily increased for 2022. The Tax Administration asks employees to be patient: if you want to take the deduction into account in your tax rate already this year, you should make a new tax card in July or later.
 
 This year, travel expenses between home and work can exceptionally be deducted in taxation up to 8,400 euros. In 2021, the maximum amount of the travel expense deduction was 7,000 euros. The deductible of 750 euros remains unchanged. Travel expenses between home and workplace should only be declared in taxes if the deductible is exceeded.[..]",https://vm.fi/-/matkakuluvahennysta-korotetaan-tilapaisesti-vuodelle-2022-1?languageId=fi_FI,"The increased costs of movement will be alleviated by temporarily increasing the deductions based on the travel costs between the apartment and the workplace for the year 2022. The government outlined the issue in February 2022 and the government's proposal was issued today, April 7.
 
 The maximum amount of the travel expense deduction is increased from 7,000 euros to 8,400 euros. The euro amount per kilometer of the travel expense deduction granted for using your own car will be increased to 0.30 euro per kilometer, and the amount granted for the use of a private car will be increased to 0.24 euro per kilometer. The change will increase the amount of the deduction granted in 2021 by 5 cents per kilometer. 
 
 The law changes are supposed to enter into force on July 1, 2022, when the Tax Administration could also implement the changes to its systems. After this, taxpayers could apply for a change tax card and benefit from the changes already in the current year's advance collection. The changes in the travel expense deduction affect the taxation of approximately 594,000 taxpayers.
 
 The changes to the travel expense deduction will be applied throughout the 2022 tax year, i.e. retroactively until the beginning of 2022.",https://www.vero.fi/syventavat-vero-ohjeet/paatokset/47405/verohallinnon-p%C3%A4%C3%A4t%C3%B6s-verovapaista-matkakustannusten-korvauksista-vuonna-2022/,,,,,,,,,,,,,,,,,,,
France,fuel discount 15ct/l (18ct incl. VAT) ('la remise à la pompe'),implemented,national,gov,measure fuel price,subsidy fuel price,1,1,0,0,1,4,2022,31,12,2022,https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices,"On 19 March 2022 the Prime Minister Jean Castex announced that from 1 April 2022 to July 2022 motorists will be able to benefit from a discount of 18 cents per litre at the pump (and 35 cents per litre for the diesel used by boats in the fishing industry). On the 18 March 2022, road hauliers were also informed that they would receive a direct grant of 400 million euros from the government. This corresponds to a boost ranging from 1,300 euros for tractors and €300 for ambulances. This latest intervention will cost €2 billion.",https://actu.fr/economie/flambee-des-prix-de-l-essence-et-du-gazole-voici-les-aides-auxquelles-vous-avez-droit_49395689.html,"A discount at the pump of 15 cents per liter will be introduced from April 1, 2022. It concerns all individuals and professionals, in mainland France and in the Overseas Territories, without any means test .",https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices,"As a part of this, on 1 September 2022, a petrol-price subsidy of 30 cents/litre was implemented until 31 October 2022. [...]On 17 October 2022, the government announced that the rebate on fuel prices initially set until 31 December 2022 is to be prolonged by two weeks until mid-November. The measure foresees a discount of 30 cents per litre until mid-November 2022, then 10 cents per litre until 31 December 2022. This reduction applies to all fuels: ie gas oils, gasoline, LPG-c, CNG in compressed form (GNC) or liquefied (LNG), superethanol E85, ethanol diesel ED95. And it benefits all private and professional uses. The discount is applied by the wholesalers distributing the fuel in the service stations. The State then pays them a subsidy corresponding to the volumes delivered. Estimates put the cost of the measure at €400 million.",https://www.gouvernement.fr/les-priorites/pouvoir-d-achat#fr-sidemenu__link-84241607-5918-41c0-a194-408e9b867ae6,"Aid of 30 euro cents including tax in mainland France (25 euro cents excluding tax) from September 1 to mid-November, then 10 euro cents including tax (8.33 euro cents excluding tax) from mid-November to December 31st.
Aid of 25 euro cents per liter in Martinique, Guadeloupe, Guyana, Reunion and Mayotte from September 1 to mid-October then 8.33 euro cents per liter from mid-November to December 31 .
Aid of 28.25 euro cents including tax per liter in Corsica (25 euro cents excluding tax) from 1 September to mid-November then 9.42 euro cents (8.33 euro cents excluding tax) on liter from mid-November to December 31.",,,,,,,,,,,,,,,,
France,Additional fuel discount by Total Energies 12ct/l then 20ct/l,implemented,national,mixed,measure fuel price,subsidy fuel price,1,1,0,0,1,7,2022,15,11,2022,https://www.cnbc.com/2022/06/30/oil-major-totalenergies-to-provide-fuel-discount-at-highway-stations.html,"Under pressure from the French government to do more to help households amid a cost-of-living crisis, TotalEnergies said it would offer a 0.12 euros per liter ($0.13) discount on fuel from July 1 to August 31.",https://www.gouvernement.fr/actualite/la-remise-carburant-prolongee-jusqua-mi-novembre,"TotalEnergies is also extending its discount of 20 centimes per liter of fuel for the same period, Prime Minister Élisabeth Borne announced on Sunday 16 October.","https://www.femmeactuelle.fr/actu/news-actu/prix-de-lessence-totalenergies-prolonge-sa-remise-de-20-centimes-jusqua-mi-novembre-2022-2143106#:~:text=Pour%20contrer%20cela%2C%20la%20direction,septembre%20au%201er%20novembre%202022.","To counter this, the management of TotalEnergies confirmed on Monday October 17, 2022 that it will extend its rebate at the pump by 20 centsper liter until mid-November 2033. ",https://www.20minutes.fr/societe/4005788-20221017-carburants-totalenergies-prolonge-remise-20-centimes-jusqu-mi-novembre,"The discount of 20 cents from TotalEnergies on fuels was initially scheduled for September 1 to November 1 in its French service stations, then was to drop to 10 cents per liter until December 31. It is added to the rebate financed by the State of 30 cents, also extended until mid-November when it was to drop to 10 cents from November 1.",https://totalenergies.com/fr/medias/actualite/communiques-presse/totalenergies-sengage-programme-massif-reduction-prix,"Paris, July 22, 2022 – To meet the expectations of French people affected by the rise in energy prices and the impact on their purchasing power, the Company is taking the initiative of a massive program to reduce the prices of fuels in all its service stations in France until the end of the year.

From September 1 to November 1 , TotalEnergies will lower the price of petroleum fuels sold at stations by 20 €cts/litre compared to prices formed on international market quotations, then by 10 €cts/litre from November 1 to 31 December.",,,,,,,,,,,,,,
France,carpooling bonus,implemented,national,gov,promote car-pooling,,0,0,1,1,1,1,2023,31,12,2100,https://www.economie.gouv.fr/particuliers/tout-savoir-covoiturage,"From January 1 , 2023, drivers who engage in short-distance carpooling will be able to receive a bonus of €100 , via carpooling platforms. This bonus will take the form of a progressive payment:
 
 a first part of the first carpool (25 € minimum)
 and the rest to the tenth carpool, within three months of his first carpool.
 To find out all about the conditions of this aid, as well as the other aid available for carpooling, consult the dedicated page on the website of the Ministry of Ecological Transition .",https://www.ecologie.gouv.fr/covoiturage-en-france-avantages-et-reglementation-en-vigueur#scroll-nav__3,"From 1 January 2023, drivers who embark on short-distance carpooling will receive a bonus of €100, via carpooling platforms, in the form of a progressive payment: a first part of the 1st carpool (minimum €25 ) and the rest to the 10th carpool, within 3 months of his first carpool.
 
 Eligibility: 
 
 To qualify for the bonus, you must meet the following conditions:
 
 Have a driving license
 Make a first carpooling trip as a driver in 2023, then make 9 other trips in the following 3 months
 The distance of the journey made in France must be less than or equal to 80km
 Trips are made using an eligible carpooling operator Consult the list of eligible carpooling operators",,,,,,,,,,,,,,,,,,,,
France,reinforcement of subsidies for purchasing bicycles,implemented,national,gov,subsidy bicycles,,0,0.5,1,1,15,8,2022,31,12,2023,https://www.gouvernement.fr/les-priorites/pouvoir-d-achat#fr-sidemenu__link-84241607-5918-41c0-a194-408e9b867ae6,for information on info graphic in french,https://www.economie.gouv.fr/renforcement-aides-nationales-achat-velo,"Bruno Le Maire, Minister for the Economy, Finance and Industrial and Digital Sovereignty, Christophe Béchu, Minister for Ecological Transition and Territorial Cohesion, Agnès Pannier-Runacher, Minister for Energy Transition and Clément Beaune, Minister delegate in charge of Transport, announced the reinforcement of aid for the acquisition of a bicycle, a clean and economical mode of transport.
 
 The decree of August 12, 2022 (JORF of August 13) enacts the reinforcement of the ecological bonus and the conversion bonus for the purchase of a bicycle.
 
 Reinforcement of the ecological bonus
 The ecological bonus for the acquisition of a new bicycle now reaches up to 400 euros . In addition, it will no longer be necessary to have benefited from local aid, for the same bicycle, to benefit from it.
 
 The amount of the ecological bonus is also increased up to 2,000 euros for the acquisition:
 
 a cargo bike,
 a folding bike,
 a bicycle suitable for people with disabilities - electrically assisted or not -,
 an electric bike trailer.
 In addition, people with disabilities, regardless of their income level, are now eligible for the bonus, which was previously granted only on a means test.
 
 Reinforcement of the conversion bonus
 The amount of the conversion bonus, granted for the purchase of a new or used electrically assisted bicycle in exchange for the scrapping of a polluting vehicle, is increased to 3,000 euros . In low-emission zones, the state grants an additional bonus of up to 1,000 euros , provided that you have received local aid for the same bike.
 
 Finally, the benefit of the conversion bonus is also extended within families. The scrapping of a polluting vehicle now entitles you to the allocation of a conversion bonus for the purchase of a bicycle by several members of the same tax household.
 
 These aids can be combined with each other and with any local aid. They are in effect from August 15 to December 31, 2022.",,,,,,,,,,,,,,,,,,,,
France,Zero-interest loan for the purchase of a low-emission vehicle in low-emission zones,implemented,national,gov,subsidy e-vehicles,,0,0,1,1,1,1,2023,31,12,2024,https://www.service-public.fr/particuliers/actualites/A15644,"From January 1 , 2023, a zero-rate loan experiment for the purchase of an electric or hybrid vehicle will start in low-emission mobility zones. For a car of €45,000 maximum, or €60,000 for a van, the loan can reach €30,000, repayable in 7 years. This interest-free loan is open to people whose tax income does not exceed €14,000 per year, or to micro-enterprises, according to a decree published in the Official Journal of April 24, 2022.",,,,,,,,,,,,,,,,,,,,,,
France,Support for up to 75% of public transport subscriptions,implemented,national,gov,subsidy public transport,,0.5,1,1,1,16,8,2022,31,12,2023,https://www.gouvernement.fr/les-priorites/pouvoir-d-achat#fr-sidemenu__link-84241607-5918-41c0-a194-408e9b867ae6,"Employers are encouraged to pay more for public transport costs: if they are already obliged to contribute at least 50% of this expense, their participation is now tax and socially exempt within the limit of 75% of the price of subscription titles.",https://www.economie.gouv.fr/entreprises/frais-transport-salaries,"Since the promulgation of Law No. 2022-1157 of August 16, 2022 on amending finances for 2022 , the threshold for exemption from payment of transport costs has been legally increased to 75% of the cost of the public transport subscription. . This 25% increase in the exemption thresholds concerns the years 2022 and 2023 and does not modify the mandatory threshold for coverage, which remains at 50% of the cost of your employees' public transport subscription . In addition, the annual exemption ceilings for the transport premium and the sustainable mobility package have been increased for the years 2022 and 2023. . For more details on the implementation of these new features, you can consult the entrepreneur.service-public.fr",,,,,,,,,,,,,,,,,,,,
France,fuel allowance(100€) for low income housholds,implemented,national,gov,transfer payments,,0.5,1,1,1,16,1,2023,31,3,2023,https://www.service-public.fr/particuliers/actualites/A16169,"To take over from the discount at the pump for all which ended on December 31, from January 2023, a fuel allowance of €100 is paid to the 10 million most modest workers. This aid is defined in a decree published in the Official Journal of January 4, 2023. Eligible persons can apply for it from January 16 and until March 31, 2023 on a form posted on the impots.gouv.fr website. [...]",https://www.economie.gouv.fr/remise-carburant-fonctionnement,"While the ""fuel discount"" at the pump ended on December 31, 2022, the measure will be replaced in 2023 by the fuel allowance . This aid now concerns only the 10 million most modest workers who use their vehicle (car or two-wheeler) to go to work.
 
 The amount of this is set at 100 euros for the whole of 2023 . The request must be made before the end of March.",,,,,,,,,,,,,,,,,,,,
France,mileage allowance scale raised by 10%,implemented,national,gov,transfer payments,,0.5,1,1,1,1,1,2022,31,12,2022,https://www.gouvernement.fr/actualite/hausse-des-carburants-le-bareme-de-l-indemnite-kilometrique-releve-de-10,"The rise in fuel prices affects the purchasing power of the French, and more particularly those for whom the vehicle is a work tool (home help and services, independent nurse, etc.). The Government has decided to cushion the rise in prices by increasing by 10% the kilometric scale used by employees who, for the determination of their annual income subject to income tax, opt for the deduction of actual travel expenses . How it works ? Each year when you declare your income, you have the choice of reducing your professional expenses by a deduction , either:
 with the 10% allowance automatically applied to the declared taxable amount;
 depending on the taxable amount declared as actual costs : travel expenses from home to work are part of the professional expenses taken into account as actual costs (in addition to catering costs, training costs, etc.).
 according to the pre-established ""mileage scale"" .
 It is on this third option that the Government has chosen to act to cushion the rise in fuel prices by raising the kilometer scale by 10% .",https://twitter.com/JeanCASTEX/status/1485984024149569540?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1485984024149569540%7Ctwgr%5E371cee530a8af79dcc5c061d9d7d14f1eb6bc6d3%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.gouvernement.fr%2Factualite%2Fhausse-des-carburants-le-bareme-de-l-indemnite-kilometrique-releve-de-10,"The effect will be rapid and direct, as soon as the 2021 income tax return or last year's profits are declared.",,,,,,,,,,,,,,,,,,,,
France,Sustainable mobility package for employees,implemented,national,gov,transfer payments,,0.5,1,1,1,16,8,2022,31,12,2023,https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices,Sustainable Mobility Package granted to employees is exempt from social security contributions up to 700€ per year and can be combined with reimbursement of public transport up to €800.,https://www.gouvernement.fr/les-priorites/pouvoir-d-achat#fr-sidemenu__link-8c60e0b6-c44a-43b6-a1a2-1da4ec52cb04,"Increase in the sustainable mobility package up to €800 per year, which can be combined with the public transport season ticket [...]The tax and social exemption ceiling of the Sustainable Mobility Package (FMD) - for the employer - rises from 500 to 700 euros within the framework of a choice of ecological travel by the employee (bicycles, electric cars, hybrid, hydrogen, etc. ).",https://www.economie.gouv.fr/entreprises/frais-transport-salaries,"Thanks to the law n° 2022-1157 of August 16, 2022 of amending finances for 2022 , the exonerated ceiling of the ""sustainable mobility package"" is increased to700 €(instead of 500 €), and to 900 € for Guadeloupe, the Guyana, Martinique, Réunion and Mayotte, for the years 2022 and 2023. When the employee combines the sustainable mobility package with the compulsory payment of public transport costs, the exemption ceiling is raised from €600 to €800.",https://www.urssaf.fr/portail/home/employeur/calculer-les-cotisations/les-elements-a-prendre-en-compte/les-frais-professionnels/les-frais-de-transport/trajet-domicilelieu-de-travail/prise-en-charge-facultative-des/forfait-mobilites-durables.html,,,,,,,,,,,,,,,,,
France,doubling ceiling of transport bonus,implemented,national,gov,transfer payments,,0.5,1,1,1,16,8,2022,31,12,2023,https://www.gouvernement.fr/les-priorites/pouvoir-d-achat#fr-sidemenu__link-8c60e0b6-c44a-43b6-a1a2-1da4ec52cb04,Ceiling of the transport bonus doubled to €400 for employees using their vehicle to get to work For 2022 and 2023 [...]The annual ceiling for tax and social exemption from fuel costs for the employer goes from €200 to €400 (€600 in overseas territories). It concerns the so-called “transport bonus” for employees;,https://www.economie.gouv.fr/entreprises/frais-transport-salaries,"The annual transport premium exemption ceiling is increased for the years 2022 and 2023.
 
 For fuel costs: €400 (instead of €200)
 For fuel costs for electric, plug-in hybrid or hydrogen vehicles: €700 (instead of €500)
 In Guadeloupe, Guyana, Martinique and Reunion and Mayotte: these thresholds are respectively increased to €600 and €900.
 In addition, in 2022 and 2023, the mandatory payment by the employer of 50% of the price of public transport costs can be combined with the transport bonus.
 
 The conditions for benefiting from the transport bonus ( for example, being located in an area not served by public transport ) have been temporarily abolished.",,,,,,,,,,,,,,,,,,,,
Germany,"reduction in excise duty on petrol and diesel (""Tankrabatt"")",implemented,national,gov,measure fuel price,reduce fuel tax,1,1,0,0,1,6,2022,31,8,2022,https://www.bundesregierung.de/breg-de/themen/entlastung-fuer-deutschland/pendlerpauschale-oepnv-ticket-2125020,"On June 1, 2022, the energy tax rates on fuels were reduced to the European minimum for a limited period of three months. The tax relief for petrol was 29.55 cents per liter and 14.04 cents per liter for diesel. For this, the federal government waived additional income of 3.1 billion euros.
 
 The so-called tank discount has quickly and effectively relieved people who depend on the car. A final assessment of the effect of the energy tax reduction can only be made after the results of the study are available.",https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Schlaglichter/Entlastungen/schnelle-spuerbare-entlastungen.html,"Energy tax on fuels has been reduced for three months from June 1, 2022 to August 31, 2022. The energy tax rate was reduced by 29.55 cents/litre for petrol and by 14.04 cents/litre for diesel fuel.",,,,,,,,,,,,,,,,,,,,
Germany,9€-ticket,implemented,national,gov,subsidy public transport,,0.5,1,1,1,1,6,2022,31,8,2022,https://www.bundesregierung.de/breg-de/aktuelles/faq-9-euro-ticket-2028756,"The 9 euro ticket was a one-time special offer limited to the months of June, July and August 2022. It applied throughout Germany in buses and trains in local and regional transport. Excluded was the long-distance traffic of the DB AG, i.e. ICE, IC, EC as well as Flix trains and long-distance buses. It cost nine euros per calendar month.",https://www.bundestag.de/dokumente/textarchiv/2022/kw20-de-neun-euro-ticket-894660,"On Thursday, May 19, 2022, the Bundestag decided to introduce the nine-euro ticket. A corresponding draft by the SPD, Bündnis 90/Die Grünen and FDP for the seventh amendment to the regionalization law (20/1739) was adopted with a majority of the coalition factions and Die Linke against the votes of the CDU/CSU and AfD. However, a motion for a resolution by the CDU/CSU (20/1871) and a motion for a resolution by the AfD (20/1872) were rejected. The Union had demanded, among other things, to make the funds of 2.5 billion euros available to the federal states for the nine-euro ticket in the Regionalization Act even if new additional public transport offers are demonstrably created instead of the implementation of the ticket. The AfD had called for the amount of 2.5 billion euros to be used instead of the nine-euro ticket for tax relief for citizens, for example in the field of energy sources.",,,,,,,,,,,,,,,,,,,,
Germany,Berlins 29€-ticket,implemented,local,gov,subsidy public transport,,0.5,1,1,1,1,10,2022,31,3,2022,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2022/pressemitteilung.1245528.php,"At its supervisory board meeting today, the Verkehrsverbund Berlin-Brandenburg (VBB) gave the go-ahead for the introduction of a 29-euro ticket as a transit ticket in Berlin. The 29-euro ticket is used to support citizens as part of the Berlin relief package. It is offered as a subscription ticket from October 1 to December 31, 2022 in the Berlin city area (Berlin AB fare zone).",https://www.berlin.de/aktuelles/7842020-958090-29euroticket-in-berlin-wird-bis-maerz-ve.html,"Since, according to Giffey, the Senate no longer assumes that the envisaged nationwide uniform tariff solution for public transport will come on January 1, 2023, the 29-euro ticket will initially be extended for three months. In addition, from January there will also be a social ticket in Berlin for 9 euros a month until at least the end of March. The circle of beneficiaries is also to be significantly expanded. According to the Senate, around 650,000 people should be entitled to such a ticket for 9 euros a month.",,,,,,,,,,,,,,,,,,,,
Germany,"increase in communting subsidy (""Pendlerpauschale"")",increased,national,gov,transfer payments,commuting subsidy,1,1,0,0,1,1,2022,31,12,2026,https://www.bundesregierung.de/breg-de/themen/entlastung-fuer-deutschland/pendlerpauschale-oepnv-ticket-2125020,"The distance allowance for commuters has increased retrospectively to January 1, 2022 to 38 cents per kilometer from the 21st kilometer. It can therefore be claimed in the tax return for 2022. The regulation applies until 2026 and regardless of the means of transport used. The relief is also transferred to low earners via the mobility premium.",https://www.bundesfinanzministerium.de/Content/DE/Pressemitteilungen/Finanzpolitik/2022/03/2022-03-16-steuerentlastungen-unterstuetzen-buergerinnen.html,"Increase in the distance allowance to 38 cents for long-distance commuters
 For commuters who travel more than 21 kilometers, the increase in the distance allowance to 38 cents, which is limited to 2026, will be brought forward to 2022. At the same time, the increase in the mobility premium acts as a relief for low-income earners.",,,,,,,,,,,,,,,,,,,,
Greece,fuel pass I & II(income & location based),implemented,national,gov,transfer payments,,0.5,1,1,1,26,4,2022,30,9,2022,https://www.ekathimerini.com/news/1183307/online-platform-for-fuel-subsidy-now-open/,"More than 3 million people in Greece are eligible for the fuel pass, which is available from vouchers.gov.gr platform.
 
 Launched on April 26, the platform is now open to all tax identification numbers (AFMs), the government announced on Saturday.
 
 The amount of the subsidy ranges from €30 to €50, depending on the type of vehicle and the place of residence of the beneficiary.
 
 People whose declared income for 2020 was €30,000 or lower can apply for the fuel pass. By logging in with their tax details, citizens are immediately informed whether they are entitled to the subsidy.
 
 The fuel subsidy concerns the months of April, May and June 2022.
 
 Some €130 million was allocated to this benefit.",https://www.taxheaven.gr/news/59131/fuel-pass-epidothsh-kaysimwn-syxnes-erwthseis-apanthseis-anoixan-oi-aithseis,"Natural persons and self-employed professionals can apply for aid to deal with the increase in fuel costs for the months of April, May and June 2022.
 
 Read more at Taxheaven: https://www.taxheaven.gr/news/59131/fuel-pass-epidothsh-kaysimwn-syxnes-erwthseis-apanthseis-anoixan-oi-aithseis",https://vouchers.gov.gr/fuelpass/appfront,"All natural persons, including freelancers, who are tax residents of Greece with a declared family income for tax year 2021 up to thirty thousand (30,000) euros, increased by three thousand (3,000) euros for the spouse or cohabiting partner and in addition by three thousand (3,000) euros for each dependent child of the household and up to the amount of forty-five thousand (45,000) euros, in order to contribute to covering the cost of fuel consumption for the months of July, August and September 2022. 

Each vehicle or motorcycle-moped can be declared by a single natural person, who has full ownership or co-ownership of the vehicle and the motorcycle-moped or is a lessee under a leasing contract. Each natural person can only declare one vehicle or motorcycle-moped. A necessary condition is that the vehicle, motorcycle-moped, is in traffic, is insured and no traffic fees are due.

 ",,,,,,,,,,,,,,,,,,
Greece,Subsidy for fuels for low- to medium-income individuals and taxi services,implemented,national,gov,transfer payments,,0.5,1,1,1,17,3,2022,30,9,2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2022-12_2264.html,"The economic measures to subsidize fuel consumption taken by the government, in accordance with law 4916 (articles 81, 82 and 83) as were specified, include the following:
 
 Direct fuel subsidy to citizens, which covers a part of the price increases for three months. Beneficiaries are individuals, tax residents of Greece, with a declared family income of up to €30,000. It is estimated that 3 million persons having at least one car and low income, can benefit from the measure. The amounts of the total subsidy range from €30 to €50 for the 3-month period (April, May, June), depending on the vehicle and the place of the main residence of the beneficiary. The subsidy is tax-free, non-assignable and non-confiscated. For those beneficiaries that choose to use a digital debit card, the amount of the aid may be increased up by €5. According to the Minister of Finance, the total cost of this support measure is estimated at €130 million.
 Subsidy at the source, from the state budget, on the selling price of the diesel for April, so that the consumer can benefit from a 15 cent per liter. This price reduction is important for containing prices low in the supply chain. According to the Minister of Finance, the total cost of this support measure is estimated at €23 million.
 Aid of €200 to taxi services during the month of April, in order to cover part of the increased fuel costs.",,,,,,,,,,,,,,,,,,,,,,
